week_number,channel_slot,year,cost,revenue
26,A,2024,24367.419999999995,169434.58
27,A,2022,15177.94330099998,99726.39999999994
27,A,2023,11484.829999999996,83454.40999999999
27,A,2024,24752.97000000001,192445.19000000003
28,A,2022,13954.443418000003,87260.79999999996
28,A,2023,18961.699999999997,105484.04
28,A,2024,23159.87000000001,176585.28000000003
29,A,2022,11752.86,99129.54
29,A,2023,16562.140000000003,135390.39999999997
29,A,2024,20524.06000000001,198707.13999999993
30,A,2022,18322.69999999999,165631.04999999993
30,A,2023,21445.06000000001,138590.26999999993
30,A,2024,23049.619999999974,200657.22000000003
31,A,2022,22782.090000000004,127024.61999999995
31,A,2023,20573.340000000007,106082.49999999999
31,A,2024,26546.080000000016,194579.21
32,A,2022,21443.97999999999,112131.20999999999
32,A,2023,10352.48,86397.06000000001
32,A,2024,25596.429999999997,165595.66000000006
33,A,2022,20181.559999999987,125476.86
33,A,2023,26512.85000000002,170462.47999999998
33,A,2024,33105.33999999998,278786.6899999998
34,A,2022,21844.630000000005,200007.20000000013
34,A,2023,9784.53000000001,53194.62000000001
34,A,2024,24512.220000000005,139714.85999999996
35,A,2022,17574.29000000001,57199.29
35,A,2023,7130.420000000004,47801.89000000001
35,A,2024,9892.730000000007,63673.34999999999
36,A,2022,9747.440000000006,40259.450000000004
36,A,2023,14829.360000000006,47735.149999999994
36,A,2024,5870.790000000001,55051.42
37,A,2022,7332.3200000000015,15262.640000000001
37,A,2023,18900.58000000001,77031.41000000003
37,A,2024,9636.360000000002,61278.14
38,A,2022,9161.280000000004,98976.95999999999
38,A,2023,34423.429999999986,234667.61
38,A,2024,16575.910000000025,180481.36999999997
39,A,2022,37770.67,293352.6000000001
39,A,2023,27046.83999999999,190262.44999999998
39,A,2024,20660.79,262716.2799999999
40,A,2022,29554.709999999992,163853.92999999993
40,A,2023,28163.74999999999,154608.12
40,A,2024,16277.849999999982,192244.39000000007
41,A,2022,25442.520000000004,123675.16
41,A,2023,29411.609999999993,147862.81999999998
41,A,2024,19084.499999999996,167920.23999999996
42,A,2022,18659.109999999993,106569.46999999997
42,A,2023,18041.259999999995,127113.70000000003
42,A,2024,19635.1,251815.36999999985
43,A,2022,20510.270000000004,123209.57
43,A,2023,13604.440000000013,105300.14999999998
43,A,2024,15466.019999999997,163951.13
44,A,2022,20294.320000000003,123307.58999999997
44,A,2023,16528.579999999998,116858.19000000006
44,A,2024,15737.74999999999,187329.75000000003
45,A,2022,20228.64000000001,108671.53999999998
45,A,2023,20478.340000000015,133286.1
45,A,2024,19832.12000000001,213782.80000000005
46,A,2022,22517.51000000001,143567.24
46,A,2023,32859.65000000001,196394.1300000001
46,A,2024,23032.719999999994,281117.4700000001
47,A,2022,20577.520000000004,160547.16000000006
47,A,2023,8838.410000000003,52495.32999999999
47,A,2024,5183.480000000005,61164.700000000004
48,A,2022,13621.370000000008,47190.7
48,A,2023,6589.51,29069.67
48,A,2024,5338.820000000006,63235.68000000001
49,A,2022,10277.64999999999,50904.749999999985
49,A,2023,8696.320000000003,34680.630000000005
49,A,2024,8284.229999999998,97884.56999999999
50,A,2022,11065.57000000001,64811.05999999997
50,A,2023,11186.000000000011,105713.18000000007
50,A,2024,11154.91,149627.33
51,A,2022,18582.209999999992,96148.06999999999
51,A,2023,23951.960000000017,157585.47999999998
51,A,2024,14711.44999999999,160746.84000000003
1,B,2022,12431.330000000005,83291.00999999994
1,B,2023,13325.370000000006,105745.14999999998
1,B,2024,9516.560000000005,111995
1,B,2025,14896.19,219019.71000000002
2,B,2022,8412.859999999997,91328.70999999998
2,B,2023,14697.27,120670.44999999995
2,B,2024,7032.670000000004,78242
2,B,2025,15439.950000000006,187556
3,B,2022,10047.170000000011,73782.60999999997
3,B,2023,14882.349999999997,107523.19999999997
3,B,2024,8264.109999999993,69125
3,B,2025,10036.15000000001,147189.5
4,B,2022,14490.530000000002,123223.31999999996
4,B,2023,11734.260000000004,61679.54999999999
4,B,2024,2532.519999999999,40864
4,B,2025,12200,192000
5,B,2022,14670.140000000016,72211.59999999998
5,B,2023,11234.109999999999,81175.49999999999
5,B,2024,10915.889999999996,111300.83000000003
5,B,2025,13429,156718
6,B,2022,10770.61999999999,83526.64999999998
6,B,2023,9522.009999999998,67730.5
6,B,2024,8766.360000000002,122626.15
6,B,2025,11978,186542
7,B,2022,9864.690000000002,50570.29000000001
7,B,2023,7916.749999999996,76585.14999999998
7,B,2024,9822.910000000002,75967
8,B,2022,8989.48000000001,53373.79999999998
8,B,2023,10628.590000000004,76004.69999999997
8,B,2024,13888.790000000005,146016.46000000005
9,B,2022,7961.219999999995,68672.35999999999
9,B,2023,7997,100768.14999999998
9,B,2024,9210.949999999999,196240.45000000004
10,B,2022,8894.96999999999,18028.900000000005
10,B,2023,7552.279999999998,48181.899999999994
10,B,2024,2809.4,32303.300000000007
11,B,2022,5606.80999999999,22671.899999999998
11,B,2023,6163.580000000004,38968.75000000001
11,B,2024,3826.340000000001,40936.6
12,B,2022,4241.1,25438.74000000001
12,B,2023,5072.860000000001,68227.80000000002
12,B,2024,4850.699999999998,77336.85
13,B,2022,5038.100000000007,23756.739999999998
13,B,2023,10250.530000000002,110024.14999999995
13,B,2024,7869.579999999996,88500.75000000003
14,B,2022,7615.979999999995,46314.00999999999
14,B,2023,14310.989999999996,80147.64999999995
14,B,2024,8398.31,85254.4
15,B,2022,10405.139999999996,48218.51
15,B,2023,12340.780000000006,79424.24999999999
15,B,2024,8213.950000000003,104031.30000000002
16,B,2022,8054.750000000007,43680.32000000001
16,B,2023,9946.12999999999,64602.44999999998
16,B,2024,7074.829999999999,80197.5
17,B,2022,6989.929999999997,17363.310000000005
17,B,2023,2042.580000000001,33155.50000000001
17,B,2024,11985.400000000007,94154.69
18,B,2022,5311.870000000001,20258.95
18,B,2023,5330.800000000002,79894.20999999996
18,B,2024,7140.479999999999,79258.3
19,B,2022,5684.330000000007,17579.890000000003
19,B,2023,5530.4000000000015,66977.14999999997
19,B,2024,7404.220000000004,64245.82
20,B,2022,5589.430000000004,16880.660000000003
20,B,2023,6254.529999999999,86861.81999999998
20,B,2024,7395.920000000014,99229.70000000001
21,B,2022,4680.860000000006,22676.100000000002
21,B,2023,7121.460000000001,100060.89999999998
21,B,2024,12105.230000000007,161804.7
22,B,2022,7419.670000000008,59357.64999999998
22,B,2023,5809.370000000001,105678.31999999998
22,B,2024,5206.560000000005,130323.75
23,B,2022,5228.070000000008,46965.8
23,B,2023,2974.88,26846.850000000006
23,B,2024,3864.989999999998,45643.25000000001
